     744,     744,   11673,   10010,   10010,     744,     744,   11673,   11673,   11673,     744,     744,   11673,     953,     953,     744,     744,   10010,     953,     953,     744,     744,     744,    4945,   11480,     744,     744,    3560,    6306,    6306,     744,     744,   13907,    2200,    2200,     744,     744,    6306,    2200,    2200,     744,     539,     539,     539,     539,     744,     539,     539,     539,     539,     744,     539,     539,     539,     539,     744,     539,     539,     539,     539,     744,     744,     727,    5720,    5720,     744,     744,     727,    8009,    8009,     744,     744,     727,     735,    8009,     744,     744,     727,     735,     735,     744,     744,     744,    4904,   12453,     744,     744,    4829,    5913,    5913,     744,     744,    9938,    5913,    5913,     744,     744,    2242,    5906,    5906
     787,     787,   11306,   11673,   11673,     787,     787,   11306,   10010,   10010,     787,     787,   11306,   10010,   10010,     787,     787,   11306,   10010,   10010,     787,     787,     787,   14110,   14005,     787,     787,   12856,     998,     998,     787,     787,    7111,    3832,    3832,     787,     787,    2200,    3832,    3832,     787,     568,     568,     568,     568,     787,     568,     568,     568,     568,     787,     568,     568,     568,     568,     787,     568,     568,     568,     568,     787,     787,     735,    8009,    8009,     787,     787,     735,    5376,    5376,     787,     787,     735,     744,    5376,     787,     787,     735,     744,     744,     787,     787,     787,   11506,    7484,     787,     787,    5322,    9938,    9938,     787,     787,    5913,   12034,   12034,     787,     787,    5054,   10256,   10256
     838,     838,    6542,    6542,    6542,     838,     838,    6542,    6542,    6542,     838,     838,    6542,    6542,    6542,     838,     838,    6542,    6542,    6542,     838,     838,     838,   14005,    9997,     838,     838,    5753,    2200,    2200,     838,     838,    4626,    4301,    4301,     838,     838,    3832,    4301,    4301,     838,     574,     574,     574,     574,     838,     574,     574,     574,     574,     838,     574,     574,     574,     574,     838,     574,     574,     574,     574,     838,     838,     744,    5376,    5376,     838,     838,     744,    8773,    8773,     838,     838,     744,     787,    8773,     838,     838,     744,     787,     787,     838,     838,     838,     134,    2242,     838,     838,   13819,   10256,   10256,     838,     838,   11159,    5906,    5906,     838,     838,      62,   12877,   12877
     861,     861,     181,     181,     181,     861,     861,     181,     181,     181,     861,     861,     181,     181,     181,     861,     861,     181,     181,     181,     861,     861,     861,    9997,    1355,     861,     861,    6398,    3832,    3832,     861,     861,   10138,     998,     998,     861,     861,    4301,    6678,    6678,     861,     608,     608,     608,     608,     861,     608,     608,     608,     608,     861,     608,     608,     608,     608,     861,     608,     608,     608,     608,     861,     861,     787,    8773,    8773,     861,     861,     787,   10531,   10531,     861,     861,     787,     838,   10531,     861,     861,     787,     838,     838,     861,     861,     861,    7484,   12343,     861,     861,    7409,   11159,   11159,     861,     861,    7863,   10256,   10256,     861,     861,    8284,    4646,    4646
     906,     906,   13014,   13014,   13014,     906,     906,   13014,   13014,   13014,     906,     906,   13014,   13014,   13014,     906,     906,   13014,   13014,   13014,     906,     906,     906,    1355,    6306,     906,     906,    7871,    4301,    4301,     906,     906,    6120,    6678,    6678,     906,     906,    6678,   11437,   11437,     906,     632,     632,     632,     632,     906,     632,     632,     632,     632,     906,     632,     632,     632,     632,     906,     632,     632,     632,     632,     906,     906,     838,   11274,   11274,     906,     906,     838,   11274,   11274,     906,     906,     838,     861,   11274,     906,     906,     838,     861,     861,     906,     906,     906,   10155,    7427,     906,     906,    7536,    5906,    5906,     906,     906,    5906,   11419,   11419,     906,     906,    1023,    5436,    5436
     940,     940,    9796,    9796,    9796,     940,     940,    9796,    9796,    9796,     940,     940,    9796,    9796,    9796,     940,     940,    9796,    9796,    9796,     940,     940,     940,    6306,     998,     940,     940,    4231,    6678,    6678,     940,     940,    6261,   11437,   11437,     940,     940,   11437,    3560,    3560,     940,     665,     665,     665,     665,     940,     665,     665,     665,     665,     940,     665,     665,     665,     665,     940,     665,     665,     665,     665,     940,     940,     861,    8831,    8831,     940,     940,     861,    8831,    8831,     940,     940,     861,     906,    8831,     940,     940,     861,     906,     906,     940,     940,     940,    2242,    5913,     940,     940,    7427,    7536,    7536,     940,     940,   10256,    7409,    7409,     940,     940,    5470,   12892,   12892
    1037,    1037,    6604,    6604,    6604,    1037,    1037,    6604,    6604,    6604,    1037,    1037,    6604,    6604,    6604,    1037,    1037,    6604,    6604,    6604,    1037,    1037,    1037,     998,    2200,    1037,    1037,    4705,   11437,   11437,    1037,    1037,    8562,    3560,    3560,    1037,    1037,    3560,    4705,    4705,    1037,     727,     727,     727,     727,    1037,     727,     727,     727,     727,    1037,     727,     727,     727,     727,    1037,     727,     727,     727,     727,    1037,    1037,     906,    6881,    6881,    1037,    1037,     906,    6881,    6881,    1037,    1037,     906,     940,    6881,    1037,    1037,     906,     940,     940,    1037,    1037,    1037,    7427,    5906,    1037,    1037,    5913,   12034,   12034,    1037,    1037,    2643,    8118,    8118,    1037,    1037,    7391,    4848,    4848
    1095,    1095,   11367,   11367,   11367,    1095,    1095,   11367,   11367,   11367,    1095,    1095,   11367,   11367,   11367,    1095,    1095,   11367,   11367,   11367,    1095,    1095,    1095,    2200,    3832,    1095,    1095,    3460,   10530,   10530,    1095,    1095,    8474,    4705,    4705,    1095,    1095,    4705,    4796,    4796,    1095,     735,     735,     735,     735,    1095,     735,     735,     735,     735,    1095,     735,     735,     735,     735,    1095,     735,     735,     735,     735,    1095,    1095,     940,    6230,    6230,    1095,    1095,     940,    6230,    6230,    1095,    1095,     940,    1037,    6230,    1095,    1095,     940,    1037,    1037,    1095,    1095,    1095,    5913,    9938,    1095,    1095,    9938,    7484,    7484,    1095,    1095,   11419,    7536,    7536,    1095,    1095,    5026,   11534,   11534
    1109,    1109,   11681,   11681,   11681,    1109,    1109,   11681,   11681,   11681,    1109,    1109,    3946,    3946,    3946,    1109,    1109,    3946,    3946,    3946,    1109,    1109,    1109,    3832,    4301,    1109,    1109,    4734,    3560,    3560,    1109,    1109,    7913,    4796,    4796,    1109,    1109,    4796,   11310,   11310,    1109,     744,     744,     744,     744,    1109,     744,     744,     744,     744,    1109,     744,     744,     744,     744,    1109,     744,     744,     744,     744,    1109,    1109,    1037,    8031,    8031,    1109,    1109,    1037,    8031,    8031,    1109,    1109,    1037,    1095,    8031,    1109,    1109,    1037,    1095,    1095,    1109,    1109,    1109,    5906,   10256,    1109,    1109,   11159,   11154,    8118,    1109,    1109,    5322,    4646,    4646,    1109,    1109,    3478,   11506,   11506
    1133,    1133,    3946,    3946,    3946,    1133,    1133,    3946,    3946,    3946,    1133,    1133,    4767,    4767,    4767,    1133,    1133,    4767,    4767,    4767,    1133,    1133,    1133,    4301,    6678,    1133,    1133,    4391,    4796,    4796,    1133,    1133,    6577,   11310,   11310,    1133,    1133,   11310,    5753,    5753,    1133,     787,     787,     787,     787,    1133,     787,     787,     787,     787,    1133,     787,     787,     787,     787,    1133,     787,     787,     787,     787,    1133,    1133,    1095,    3456,    3456,    1133,    1133,    1095,    3456,    3456,    1133,    1133,    1095,    1109,    3456,    1133,    1133,    1095,    1109,    1109,    1133,    1133,    1133,   10256,   11159,    1133,    1133,   10256,    5399,    5399,    1133,    1133,    5789,    5436,    5436,    1133,    1133,   11863,    7484,    7484
    1178,    1178,    4767,    4767,    4767,    1178,    1178,    4767,    4767,    4767,    1178,    1178,    7094,    7094,    7094,    1178,    1178,    7094,    7094,    7094,    1178,    1178,    1178,    6678,   11437,    1178,    1178,    4690,   11310,   11310,    1178,    1178,    7871,   12166,   12166,    1178,    1178,   12856,    6398,    6398,    1178,     838,     838,     838,     838,    1178,     838,     838,     838,     838,    1178,     838,     838,     838,     838,    1178,     838,     838,     838,     838,    1178,    1178,    1109,    7817,    7817,    1178,    1178,    1109,    7817,    7817,    1178,    1178,    1109,    1133,    7817,    1178,    1178,    1109,    1133,    1133,    1178,    1178,    1178,    9938,    8118,    1178,    1178,    5906,    7289,    7289,    1178,    1178,   13819,    7484,    7484,    1178,    1178,   12192,    7409,    7409
    1221,    1221,    7094,    7094,    7094,    1221,    1221,    7094,    7094,    7094,    1221,    1221,   11681,   11681,   11681,    1221,    1221,   10575,   10575,   10575,    1221,    1221,    1221,   11437,   10530,    1221,    1221,    8378,   12166,   12166,    1221,    1221,   10814,   12856,   12856,    1221,    1221,    5753,    4231,    4231,    1221,     861,     861,     861,     861,    1221,     861,     861,     861,     861,    1221,     861,     861,     861,     861,    1221,     861,     861,     861,     861,    1221,    1221,    1133,    4360,    4360,    1221,    1221,    1133,    4360,    4360,    1221,    1221,    1133,    1178,    4360,    1221,    1221,    1133,    1178,    1178,    1221,    1221,    1221,   11159,    6144,    1221,    1221,    7863,   11655,   11655,    1221,    1221,    7409,    5399,    5399,    1221,    1221,   13295,    8118,    8118
    1222,    1222,    6437,     415,     415,    1222,    1222,     800,   12978,   12978,    1222,    1222,   10575,   10575,   10575,    1222,    1222,    4287,    4287,    4287,    1222,    1222,    1222,   10530,   12166,    1222,    1222,    9144,   12856,   12856,    1222,    1222,    4231,    5753,    5753,    1222,    1222,    6398,    7871,    7871,    1222,     906,     906,     906,     906,    1222,     906,     906,     906,     906,    1222,     906,     906,     906,     906,    1222,     906,     906,     906,     906,    1222,    1222,    1178,    4911,    4911,    1222,    1222,    1178,    4911,    4911,    1222,    1222,    1178,    1221,    4911,    1222,    1222,    1178,    1221,    1221,    1222,    1222,    1222,   11154,   12558,    1222,    1222,   11154,     606,     606,    1222,    1222,    7536,    4848,    4848,    1222,    1222,   12557,   11419,   11419
    1270,    1270,   12922,    2837,    2837,    1270,    1270,   12978,    8126,    8126,    1270,    1270,    4287,    4287,    4287,    1270,    1270,   12940,   13786,   13786,    1270,    1270,    1270,   12166,    4796,    1270,    1270,    7794,    4705,    4705,    1270,    1270,   13242,    6398,    6398,    1270,    1270,    4231,   12856,   12856,    1270,     940,     940,     940,     940,    1270,     940,     940,     940,     940,    1270,     940,     940,     940,     940,    1270,     940,     940,     940,     940,    1270,    1270,    1221,    5365,    5365,    1270,    1270,    1221,    5365,    5365,    1270,    1270,    1221,    1222,    5365,    1270,    1270,    1221,    1222,    1222,    1270,    1270,    1270,     894,    4657,    1270,    1270,     894,   11580,   11580,    1270,    1270,   12453,    8531,    8531,    1270,    1270,    8623,    7536,    7536
    1276,    1276,    6735,    9772,    9772,    1276,    1276,    4287,    4287,    4287,    1276,    1276,   13786,   13786,   13786,    1276,    1276,   13786,   12940,   12940,    1276,    1276,    1276,    4796,   11310,    1276,    1276,   13907,    5753,    5753,    1276,    1276,    9099,    7871,    7871,    1276,    1276,    7871,    7111,    7111,    1276,    1037,    1037,    1037,    1037,    1276,    1037,    1037,    1037,    1037,    1276,    1037,    1037,    1037,    1037,    1276,    1037,    1037,    1037,    1037,    1276,    1276,    1222,   10879,   10879,    1276,    1276,    1222,   10879,   10879,    1276,    1276,    1222,    1270,   10879,    1276,    1276,    1222,    1270,    1270,    1276,    1276,    1276,    6144,    4380,    1276,    1276,    7484,    2242,    2242,    1276,    1276,   11154,    8040,    8040,    1276,    1276,   10316,   12343,   12343
    1413,    1413,    2837,    6413,    6413,    1413,    1413,   13786,   13786,   13786,    1413,    1413,   12940,   12940,   12940,    1413,    1413,   11700,   11700,   11700,    1413,    1413,    1413,   11310,    3560,    1413,    1413,    7111,    6398,    6398,    1413,    1413,    6095,    4231,    4231,    1413,    1413,    3460,    3460,    3460,    1413,    1095,    1095,    1095,    1095,    1413,    1095,    1095,    1095,    1095,    1413,    1095,    1095,    1095,    1095,    1413,    1095,    1095,    1095,    1095,    1413,    1413,    1270,    9345,    9345,    1413,    1413,    1270,    9345,    9345,    1413,    1413,    1270,    1276,    9345,    1413,    1413,    1270,    1276,    1276,    1413,    1413,    1413,   12558,    6853,    1413,    1413,     651,    5054,    5054,    1413,    1413,    5143,    1895,    1895,    1413,    1413,     172,    6548,    6548
    1448,    1448,    9772,   13597,   13597,    1448,    1448,   12940,   12940,   12940,    1448,    1448,   11700,   11700,   11700,    1448,    1448,   12978,   12978,   12978,    1448,    1448,    1448,    3560,   12856,    1448,    1448,    4626,    7871,    7871,    1448,    1448,    7800,   10530,   10530,    1448,    1448,    7794,    8378,    8378,    1448,    1109,    1109,    1109,    1109,    1448,    1109,    1109,    1109,    1109,    1448,    1109,    1109,    1109,    1109,    1448,    1109,    1109,    1109,    1109,    1448,    1448,    1276,    8420,    8420,    1448,    1448,    1276,    8420,    8420,    1448,    1448,    1276,    1413,    8420,    1448,    1448,    1276,    1413,    1413,    1448,    1448,    1448,    4657,    1155,    1448,    1448,    7029,    8284,    8284,    1448,    1448,    4646,    7496,    7496,    1448,    1448,    1269,    6167,    6167
    1508,    1508,     415,    6735,    6735,    1508,    1508,   11700,   11700,   11700,    1508,    1508,   12978,   12978,   12978,    1508,    1508,   11681,   11681,   11681,    1508,    1508,    1508,   12856,    5753,    1508,    1508,   10138,    4231,    4231,    1508,    1508,    1808,    7111,    7111,    1508,    1508,    4391,    7794,    7794,    1508,    1133,    1133,    1133,    1133,    1508,    1133,    1133,    1133,    1133,    1508,    1133,    1133,    1133,    1133,    1508,    1133,    1133,    1133,    1133,    1508,    1508,    1413,    4436,    4436,    1508,    1508,    1413,    4436,    4436,    1508,    1508,    1413,    1448,    4436,    1508,    1508,    1413,    1448,    1448,    1508,    1508,    1508,    4380,   10140,    1508,    1508,   11280,     651,    8531,    1508,    1508,    5436,    6548,    6548,    1508,    1508,   11179,    6070,    6070
    1570,    1570,    6413,    6437,    6437,    1570,    1570,   10575,   10575,   10575,    1570,    1570,     800,    8126,    8126,    1570,    1570,   11818,   11818,   11818,    1570,    1570,    1570,    5753,    6398,    1570,    1570,    6120,    7111,    7111,    1570,    1570,    3217,    3460,    3460,    1570,    1570,    4690,    9144,    9144,    1570,    1178,    1178,    1178,    1178,    1570,    1178,    1178,    1178,    1178,    1570,    1178,    1178,    1178,    1178,    1570,    1178,    1178,    1178,    1178,    1570,    1570,    1448,    8791,    8791,    1570,    1570,    1448,    8791,    8791,    1570,    1570,    1448,    1508,    8791,    1570,    1570,    1448,    1508,    1508,    1570,    1570,    1570,    6853,    4255,    1570,    1570,   13447,   11280,    4646,    1570,    1570,    7484,    6167,    6167,    1570,    1570,    6070,    1269,    1269
